,DateKey,event_Incident_Prediction_Rolling,MaxDate,DateDiff
838,2018-05-07,9.15,5/15/2018,8
842,2018-05-08,9.025,5/15/2018,7
846,2018-05-09,9.7,5/15/2018,6
850,2018-05-10,9.975,5/15/2018,5
854,2018-05-11,10.15,5/15/2018,4
858,2018-05-12,10.725,5/15/2018,3
861,2018-05-13,11.775,5/15/2018,2
865,2018-05-14,11.3,5/15/2018,1
869,2018-05-15,9.8,5/15/2018,0
338,2018-01-01,0.675,5/16/2018,135
342,2018-01-02,0.3,5/16/2018,134
346,2018-01-03,0.425,5/16/2018,133
350,2018-01-04,0.425,5/16/2018,132
354,2018-01-05,0.125,5/16/2018,131
358,2018-01-06,0.1,5/16/2018,130
361,2018-01-07,0.275,5/16/2018,129
364,2018-01-08,0.2,5/16/2018,128
368,2018-01-09,0.825,5/16/2018,127
372,2018-01-10,1.525,5/16/2018,126
376,2018-01-11,1.9,5/16/2018,125
380,2018-01-12,3.225,5/16/2018,124
384,2018-01-13,3.375,5/16/2018,123
387,2018-01-14,3.95,5/16/2018,122
391,2018-01-15,4.4,5/16/2018,121
395,2018-01-16,4.875,5/16/2018,120
399,2018-01-17,5.9,5/16/2018,119
403,2018-01-18,5.975,5/16/2018,118
407,2018-01-19,5.6,5/16/2018,117
411,2018-01-20,5.7,5/16/2018,116
415,2018-01-21,5.25,5/16/2018,115
419,2018-01-22,5.6,5/16/2018,114
423,2018-01-23,5.15,5/16/2018,113
427,2018-01-24,4.3,5/16/2018,112
431,2018-01-25,3.9,5/16/2018,111
435,2018-01-26,3.325,5/16/2018,110
439,2018-01-27,1.75,5/16/2018,109
443,2018-01-28,2.1,5/16/2018,108
447,2018-01-29,2.775,5/16/2018,107
451,2018-01-30,3.025,5/16/2018,106
455,2018-01-31,2.95,5/16/2018,105
459,2018-02-01,2.525,5/16/2018,104
463,2018-02-02,3.125,5/16/2018,103
467,2018-02-03,3.2,5/16/2018,102
471,2018-02-04,3.875,5/16/2018,101
475,2018-02-05,3.7,5/16/2018,100
479,2018-02-06,3.725,5/16/2018,99
483,2018-02-07,3.95,5/16/2018,98
487,2018-02-08,4.275,5/16/2018,97
491,2018-02-09,4.35,5/16/2018,96
495,2018-02-10,4.675,5/16/2018,95
499,2018-02-11,4.625,5/16/2018,94
503,2018-02-12,4.425,5/16/2018,93
507,2018-02-13,5.8,5/16/2018,92
511,2018-02-14,2.45,5/16/2018,91
515,2018-02-15,2.4,5/16/2018,90
519,2018-02-16,1.95,5/16/2018,89
523,2018-02-17,1.875,5/16/2018,88
527,2018-02-18,1.5,5/16/2018,87
531,2018-02-19,1.175,5/16/2018,86
535,2018-02-20,1.35,5/16/2018,85
539,2018-02-21,0.95,5/16/2018,84
543,2018-02-22,0.375,5/16/2018,83
547,2018-02-23,0.25,5/16/2018,82
551,2018-02-24,0.475,5/16/2018,81
554,2018-02-25,0.95,5/16/2018,80
558,2018-02-26,1,5/16/2018,79
562,2018-02-27,0.85,5/16/2018,78
566,2018-02-28,1.75,5/16/2018,77
570,2018-03-01,2.15,5/16/2018,76
